PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\ts_19jul2013\Trimmed_ts5_5.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	768	31	mm	120	1	768																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-326.85419	402.09521	1094.75049	-169.18925	394.14972	938.89429	-402.9657	218.825	983.4787	-492.32251	284.19452	636.383	-484.79816	310.03036	623.60846	-491.40164	350.81525	622.49524	-339.39041	99.09452	664.48322	-372.29691	513.50073	613.2157	-213.18559	156.40186	600.66901	-243.7661	459.37393	589.08936	-265.21112	250.84718	1108.89941	-119.2202	122.47707	1018.48657	-65.34457	68.3477	849.1275	-53.44995	16.28343	958.43524	55.79642	88.40742	975.5224	143.96426	134.64255	934.87457	101.53384	204.84129	965.92963	-287.05035	548.54797	1026.51404	-237.94293	697.94165	878.74841	-344.66141	654.27002	878.06555	-245.54601	717.41003	707.86566	-275.99979	794.49811	799.31146	-150.68088	816.75555	822.72522	-16.45059	771.24255	809.69824	-23.48821	862.46222	785.99133	661.64056	-349.80441	726.20422	78.81838	-356.41977	721.57806	63.92204	887.57751	725.03973	645.48383	894.07416	725.25769	-213.18559	156.40186	600.66901	-243.7661	459.37393	589.08936	-213.18559	156.40186	600.66901	-243.7661	459.37393	589.08936	122.74905	169.74191	950.4021	-59.39726	42.31557	903.78137
2	0.008	-327.33994	402.15656	1094.74878	-169.57982	394.17145	938.99603	-403.36102	218.87631	983.47577	-492.41245	284.21225	636.30347	-484.84695	310.04129	623.52496	-491.47141	350.82593	622.42029	-339.56253	99.05844	664.49426	-372.38934	513.49908	613.15588	-213.3174	156.34096	600.73755	-243.85362	459.35193	589.10156	-265.73767	250.99765	1109.04382	-119.46706	122.78734	1019.20728	-64.85817	68.74094	849.9599	-53.22636	16.71817	959.30774	56.17643	88.64543	976.33716	144.39854	134.74332	935.62921	102.07261	204.98099	966.76154	-287.46176	548.61401	1026.51404	-237.97266	697.92285	878.78925	-344.74777	654.35638	877.99762	-245.43193	717.45569	707.92163	-275.83795	794.52997	799.35236	-150.52275	816.97113	822.7674	-16.24927	771.59521	809.82349	-23.35582	862.75519	785.90662	661.65118	-349.80869	726.20166	78.80859	-356.42426	721.57953	63.87741	887.58228	725.04352	645.47913	894.0672	725.25269	-213.3174	156.34096	600.73755	-243.85362	459.35193	589.10156	-213.3174	156.34096	600.73755	-243.85362	459.35193	589.10156	123.23558	169.86215	951.19537	-59.04226	42.72955	904.63385
3	0.017	-327.86224	402.19528	1094.75134	-170.0032	394.19827	939.1059	-403.78305	218.91693	983.45984	-492.49017	284.22388	636.21863	-484.90875	310.05109	623.44061	-491.54993	350.82751	622.33807	-339.74948	99.01403	664.50427	-372.49039	513.49481	613.0957	-213.46324	156.2699	600.80505	-243.9507	459.32529	589.11304	-266.31003	251.13875	1109.18408	-119.73959	123.1308	1019.96356	-64.42516	69.28528	850.82861	-53.08207	17.26896	960.20197	56.49076	88.95737	977.22333	144.80444	134.87918	936.49103	102.60225	205.17569	967.6701	-287.91125	548.6731	1026.52954	-238.0056	697.89789	878.87	-344.85516	654.45343	877.95129	-245.29735	717.50824	708.01709	-275.66727	794.56635	799.43622	-150.33688	817.21918	822.82959	-16.02156	771.99933	809.94763	-23.21013	863.09125	785.79999	661.66266	-349.81247	726.20038	78.80022	-356.42548	721.58246	63.85204	887.58496	725.04138	645.47247	894.06415	725.24866	-213.46324	156.2699	600.80505	-243.9507	459.32529	589.11304	-213.46324	156.2699	600.80505	-243.9507	459.32529	589.11304	123.70335	170.02744	952.08057	-58.75362	43.27711	905.51532
4	0.025	-328.41913	402.21594	1094.75806	-170.45697	394.23077	939.22308	-404.22852	218.94684	983.4278	-492.55481	284.22803	636.12909	-484.98346	310.05789	623.35559	-491.63428	350.81985	622.24597	-339.95093	98.96138	664.51105	-372.59689	513.4881	613.03516	-213.62289	156.18806	600.86847	-244.05481	459.29333	589.1225	-266.92783	251.2706	1109.32031	-120.04526	123.50141	1020.74481	-64.06019	69.97039	851.72125	-53.02162	17.92973	961.10657	56.7317	89.3441	978.16455	145.16975	135.05267	937.44049	103.10767	205.43166	968.6297	-288.39789	548.72571	1026.56006	-238.04405	697.86938	878.99072	-344.98807	654.56158	877.9245	-245.13876	717.56744	708.15021	-275.49191	794.60901	799.56012	-150.12503	817.50146	822.91119	-15.7684	772.45776	810.07373	-23.05304	863.47186	785.67133	661.67365	-349.81433	726.19983	78.79475	-356.42233	721.58551	63.85048	887.58496	725.03229	645.46503	894.06598	725.24554	-213.62289	156.18806	600.86847	-244.05481	459.29333	589.1225	-213.62289	156.18806	600.86847	-244.05481	459.29333	589.1225	124.13871	170.24217	953.0351	-58.5409	43.95006	906.41394
5	0.033	-329.01001	402.22433	1094.76855	-170.93846	394.26984	939.34589	-404.69452	218.96712	983.37756	-492.60828	284.22351	636.0351	-485.06979	310.05997	623.26886	-491.7226	350.80365	622.14197	-340.16504	98.90124	664.51154	-372.70798	513.47974	612.97479	-213.7946	156.09706	600.92542	-244.1649	459.25739	589.13007	-267.58899	251.396	1109.45386	-120.38723	123.8953	1021.5376	-63.77265	70.77995	852.62323	-53.04497	18.68855	962.00812	56.89307	89.80431	979.14368	145.4827	135.26672	938.46008	103.56792	205.75017	969.61761	-288.92047	548.77277	1026.60339	-238.0914	697.84015	879.15015	-345.1503	654.68091	877.91333	-244.95364	717.63385	708.31793	-275.31491	794.66003	799.71918	-149.89136	817.81854	823.01074	-15.49408	772.97125	810.20587	-22.88713	863.89642	785.5238	661.68231	-349.81308	726.19867	78.79237	-356.41455	721.58716	63.87202	887.58246	725.01636	645.45795	894.07239	725.24316	-213.7946	156.09706	600.92542	-244.1649	459.25739	589.13007	-213.7946	156.09706	600.92542	-244.1649	459.25739	589.13007	124.52531	170.50845	954.03888	-58.40881	44.73425	907.31567
6	0.042	-329.63419	402.22726	1094.7821	-171.44418	394.31631	939.47198	-405.17715	218.98041	983.30847	-492.65451	284.2095	635.93628	-485.16541	310.05594	623.17798	-491.81573	350.78015	622.02576	-340.38791	98.83509	664.50281	-372.82413	513.47046	612.91461	-213.97456	156.00035	600.97455	-244.28062	459.21988	589.13647	-268.28952	251.5202	1109.58691	-120.76621	124.3099	1022.32745	-63.56721	71.69231	853.51807	-53.1493	19.5274	962.89105	56.96935	90.33362	980.1441	145.73451	135.52338	939.53595	103.95891	206.12875	970.61658	-289.47653	548.81635	1026.65637	-238.15239	697.81378	879.34534	-345.34384	654.81134	877.91235	-244.73996	717.70831	708.51678	-275.1376	794.72205	799.90686	-149.64192	818.16949	823.12604	-15.20461	773.53754	810.3479	-22.71585	864.36279	785.36469	661.68707	-349.80826	726.19568	78.79239	-356.40314	721.58606	63.91234	887.57782	724.99475	645.45209	894.08209	725.24146	-213.97456	156.00035	600.97455	-244.28062	459.21988	589.13647	-213.97456	156.00035	600.97455	-244.28062	459.21988	589.13647	124.84671	170.82607	955.07623	-58.35826	45.60986	908.20459
7	0.05	-330.29004	402.2316	1094.797	-171.97047	394.371	939.59888	-405.66995	218.99088	983.22101	-492.6991	284.18613	635.83112	-485.2673	310.04501	623.07977	-491.91708	350.75089	621.89948	-340.61447	98.76498	664.48267	-372.94589	513.46002	612.85431	-214.15765	155.90231	601.01581	-244.40129	459.18271	589.14325	-269.02393	251.65001	1109.72192	-121.18228	124.74241	1023.10028	-63.44495	72.68175	854.3877	-53.33095	20.42253	963.73767	56.95547	90.92375	981.15027	145.91881	135.8242	940.65723	104.25687	206.56355	971.61615	-290.06232	548.85895	1026.71509	-238.23318	697.79492	879.57202	-345.56802	654.95197	877.91479	-244.49626	717.79224	708.7428	-274.96005	794.7984	800.11584	-149.38396	818.55267	823.25391	-14.90585	774.15106	810.50226	-22.54402	864.86804	785.2049	661.68695	-349.80057	726.19043	78.79362	-356.3902	721.58167	63.96537	887.57178	724.96906	645.44763	894.0932	725.24011	-214.15765	155.90231	601.01581	-244.40129	459.18271	589.14325	-214.15765	155.90231	601.01581	-244.40129	459.18271	589.14325	125.08784	171.19388	956.13672	-58.38795	46.55214	909.06268
8	0.058	-330.97482	402.24365	1094.81091	-172.51613	394.4346	939.72443	-406.16541	219.00336	983.117	-492.74896	284.15457	635.71765	-485.37289	310.0271	622.97144	-492.03101	350.71744	621.76691	-340.84021	98.69319	664.45099	-373.07288	513.44696	612.79279	-214.33905	155.80667	601.05109	-244.52544	459.146	589.15131	-269.78558	251.79218	1109.8606	-121.63493	125.18855	1023.84332	-63.40381	73.72056	855.21216	-53.58606	21.34609	964.52789	56.84658	91.56269	982.1463	146.02705	136.17326	941.81354	104.44027	207.0515	972.61304	-290.67435	548.90332	1026.77637	-238.34023	697.789	879.82428	-345.81903	655.10046	877.9129	-244.22179	717.88776	708.99188	-274.78125	794.89307	800.33862	-149.12415	818.96625	823.39203	-14.6024	774.80493	810.66809	-22.37652	865.40973	785.05865	661.68176	-349.7915	726.18372	78.79454	-356.37814	721.57465	64.02519	887.565	724.94092	645.44464	894.10358	725.23914	-214.33905	155.80667	601.05109	-244.52544	459.146	589.15131	-214.33905	155.80667	601.05109	-244.52544	459.146	589.15131	125.23366	171.61238	957.21332	-58.49494	47.53333	909.87
